,Cluster probability,,,Intercept,,
,mean,hdi_2.5%,hdi_97.5%,mean,hdi_2.5%,hdi_97.5%
Cluster 1,0.783,0.782,0.784,-3.956,-3.975,-3.938
Cluster 2,0.041,0.04,0.042,-4.373,-4.418,-4.325
Cluster 3,0.024,0.023,0.026,-3.63,-3.744,-3.523
Cluster 4,0.018,0.017,0.018,-3.329,-3.388,-3.269
Cluster 5,0.012,0.011,0.013,-3.467,-3.567,-3.375
Cluster 6,0.011,0.01,0.012,-3.79,-3.895,-3.684
Cluster 7,0.011,0.01,0.011,-2.717,-2.817,-2.627
Cluster 8,0.011,0.01,0.011,8.695,6.429,10.963
Cluster 9,0.01,0.009,0.012,-4.559,-4.785,-4.32
Cluster 10,0.009,0.009,0.01,-4.477,-4.605,-4.314
Cluster 11,0.008,0.007,0.009,-2.735,-2.911,-2.563
Cluster 12,0.008,0.007,0.008,3.685,3.497,3.905
Cluster 13,0.007,0.007,0.008,-2.183,-2.293,-2.049
Cluster 14,0.006,0.006,0.006,0.031,-0.153,0.21
Cluster 15,0.005,0.005,0.006,-3.683,-3.82,-3.535
Cluster 16,0.004,0.004,0.004,-1.006,-1.258,-0.728
Cluster 17,0.004,0.003,0.004,-2.532,-2.668,-2.414
Cluster 18,0.004,0.004,0.004,-4.155,-4.285,-4.029
Cluster 19,0.003,0.003,0.003,2.882,2.643,3.13
Cluster 20,0.003,0.003,0.004,-3.691,-3.867,-3.536
Cluster 21,0.003,0.003,0.004,5.457,3.873,7.146
Cluster 22,0.002,0.001,0.002,-1.925,-2.405,-1.476
Cluster 23,0.002,0.001,0.002,1.169,0.76,1.565
Cluster 24,0.002,0.002,0.002,-0.789,-0.939,-0.632
Cluster 25,0.002,0.001,0.002,-1.309,-1.646,-0.931
Cluster 26,0.002,0.002,0.002,-0.165,-0.35,0.013
Cluster 27,0.001,0.001,0.001,-2.633,-2.921,-2.326
Cluster 28,0.001,0.001,0.001,0.233,-0.019,0.504
Cluster 29,0.001,0.001,0.001,1.017,0.433,1.553
Cluster 30,0.001,0.001,0.001,0.645,0.173,1.05
Cluster 31,0.001,0.001,0.002,0.253,-0.174,0.665
Cluster 32,0.001,0.001,0.001,1.217,0.43,1.849
Cluster 33,0,0,0,-1.281,-1.686,-0.865
