,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"Cluster 0, FIRST_BL_ANAEMIA",0.012,0.002,0.007,0.016,0,0,1031,794,NaN
"Cluster 0, FIRST_ARRYTHMIA",0.454,0.019,0.418,0.493,0.001,0,982,934,NaN
"Cluster 0, FIRST_CPD",0.382,0.016,0.352,0.415,0,0,1070,979,NaN
"Cluster 0, FIRST_CHF",0.128,0.017,0.094,0.159,0.001,0,859,992,NaN
"Cluster 0, FIRST_COAGULOPATHY",0.029,0.004,0.021,0.036,0,0,982,1011,NaN
"Cluster 0, FIRST_DEF_ANAEMIA",0.355,0.017,0.325,0.391,0.001,0,1041,915,NaN
"Cluster 0, FIRST_DEPRESSION",0.242,0.014,0.212,0.266,0,0,914,835,NaN
"Cluster 0, FIRST_DIAB_COMP",0.002,0.001,0.001,0.003,0,0,934,881,NaN
"Cluster 0, FIRST_DIAB",0.207,0.013,0.18,0.233,0,0,1091,982,NaN
"Cluster 0, FIRST_DRUG_ABUSE",0.005,0.002,0.002,0.009,0,0,960,973,NaN
"Cluster 0, FIRST_FED",0.271,0.016,0.241,0.304,0.001,0,900,941,NaN
"Cluster 0, FIRST_HYPERTENSION",0.768,0.015,0.739,0.795,0,0,1007,941,NaN
"Cluster 0, FIRST_HYPERTENSION_COMP",0.002,0.001,0.001,0.004,0,0,1025,907,NaN
"Cluster 0, FIRST_HYPOTHYROIDISM",0.131,0.01,0.113,0.152,0,0,978,850,NaN
"Cluster 0, FIRST_LIVER_DISEASE",0.061,0.007,0.049,0.075,0,0,922,992,NaN
"Cluster 0, FIRST_LYMPHOMA",0.026,0.004,0.019,0.034,0,0,986,846,NaN
"Cluster 0, FIRST_METASTATIC_CANCER",0.003,0.002,0.001,0.007,0,0,935,917,NaN
"Cluster 0, FIRST_OBESITY",0.102,0.009,0.086,0.122,0,0,847,867,NaN
"Cluster 0, FIRST_OND",0.315,0.018,0.281,0.351,0.001,0,1023,1024,NaN
"Cluster 0, FIRST_PARALYSIS",0.015,0.004,0.008,0.023,0,0,961,908,NaN
"Cluster 0, FIRST_PEP_ULCER",0.107,0.008,0.093,0.122,0,0,1178,1045,NaN
"Cluster 0, FIRST_PVD",0.216,0.012,0.195,0.242,0,0,873,887,NaN
"Cluster 0, FIRST_PSYCHOSES",0.014,0.003,0.009,0.021,0,0,1017,1024,NaN
"Cluster 0, FIRST_PCD",0.055,0.006,0.044,0.066,0,0,1042,1021,NaN
"Cluster 0, FIRST_RENAL_DISEASE",0.286,0.015,0.255,0.313,0,0,982,854,NaN
"Cluster 0, FIRST_RA",0.154,0.008,0.139,0.168,0,0,940,988,NaN
"Cluster 0, FIRST_CANCER",0.335,0.013,0.309,0.363,0,0,762,802,NaN
"Cluster 0, FIRST_VALVULAR_DISEASE",0.238,0.013,0.215,0.265,0,0,1018,978,NaN
"Cluster 0, FIRST_WEIGHT_LOSS",0.247,0.014,0.22,0.275,0,0,960,922,NaN
"Cluster 1, FIRST_BL_ANAEMIA",0.001,0,0.001,0.002,0,0,922,900,NaN
"Cluster 1, FIRST_ARRYTHMIA",0.136,0.01,0.116,0.153,0,0,1042,944,NaN
"Cluster 1, FIRST_CPD",0.899,0.028,0.848,0.949,0.001,0.001,1022,975,NaN
"Cluster 1, FIRST_CHF",0.075,0.006,0.062,0.087,0,0,916,944,NaN
"Cluster 1, FIRST_COAGULOPATHY",0.006,0.002,0.003,0.009,0,0,1017,1021,NaN
"Cluster 1, FIRST_DEF_ANAEMIA",0.028,0.006,0.018,0.041,0,0,825,945,NaN
"Cluster 1, FIRST_DEPRESSION",0.171,0.012,0.149,0.195,0,0,974,912,NaN
"Cluster 1, FIRST_DIAB_COMP",0.001,0,0.001,0.002,0,0,962,897,NaN
"Cluster 1, FIRST_DIAB",0.093,0.007,0.08,0.106,0,0,1180,876,NaN
"Cluster 1, FIRST_DRUG_ABUSE",0.01,0.002,0.007,0.014,0,0,965,936,NaN
"Cluster 1, FIRST_FED",0.103,0.01,0.084,0.121,0,0,1122,889,NaN
"Cluster 1, FIRST_HYPERTENSION",0.344,0.015,0.314,0.372,0,0,1099,960,NaN
"Cluster 1, FIRST_HYPERTENSION_COMP",0.001,0,0.001,0.002,0,0,1019,983,NaN
"Cluster 1, FIRST_HYPOTHYROIDISM",0.034,0.005,0.025,0.043,0,0,1065,1016,NaN
"Cluster 1, FIRST_LIVER_DISEASE",0.035,0.004,0.026,0.043,0,0,880,1021,NaN
"Cluster 1, FIRST_LYMPHOMA",0.012,0.002,0.007,0.016,0,0,1036,713,NaN
"Cluster 1, FIRST_METASTATIC_CANCER",0.002,0.001,0.001,0.004,0,0,898,726,NaN
