,x,x_frac,y
0,80,0.01,-0.007837
1,80,0.01,-0.011468
2,80,0.01,-0.008602
3,80,0.01,-0.007647
4,80,0.01,0.001538
5,80,0.01,-0.012433
6,200,0.025,0.001791
7,200,0.025,-0.004451
8,200,0.025,-0.008658
9,200,0.025,-0.011045
10,200,0.025,-0.010268
11,200,0.025,-0.006966
12,400,0.05,-0.007861
13,400,0.05,-0.011128
14,400,0.05,-0.005581
15,400,0.05,-0.003942
16,400,0.05,0.001389
17,400,0.05,-0.008856
18,600,0.075,0.001511
19,600,0.075,-0.004856
20,600,0.075,-0.009605
21,600,0.075,-0.011981
22,600,0.075,-0.007461
23,600,0.075,-0.004384
24,800,0.1,-0.004096
25,800,0.1,-0.006659
26,800,0.1,-0.012121
27,800,0.1,-0.005616
28,800,0.1,0.00177
29,800,0.1,-0.008953
30,1600,0.2,-0.002232
31,1600,0.2,-0.006564
32,1600,0.2,-0.012098
33,1600,0.2,-0.006928
34,1600,0.2,-0.005229
35,1600,0.2,0.002499
