,x,x_frac,y
0,80,0.01,0.85625
1,80,0.01,0.81375
2,80,0.01,0.645
3,80,0.01,0.8475
4,80,0.01,0.80875
5,80,0.01,0.835
6,200,0.025,0.71875
7,200,0.025,0.835
8,200,0.025,0.85375
9,200,0.025,0.88375
10,200,0.025,0.86625
11,200,0.025,0.84375
12,400,0.05,0.89625
13,400,0.05,0.89125
14,400,0.05,0.8675
15,400,0.05,0.765
16,400,0.05,0.8725
17,400,0.05,0.86125
18,600,0.075,0.80625
19,600,0.075,0.88125
20,600,0.075,0.87875
21,600,0.075,0.9
22,600,0.075,0.89875
23,600,0.075,0.88125
24,800,0.1,0.8325
25,800,0.1,0.88125
26,800,0.1,0.88625
27,800,0.1,0.90875
28,800,0.1,0.8825
29,800,0.1,0.90125
30,1600,0.2,0.89125
31,1600,0.2,0.91875
32,1600,0.2,0.9225
33,1600,0.2,0.9125
34,1600,0.2,0.89375
35,1600,0.2,0.83875
