,phi,SVI_bias,SVI_bias_mean,NUTS_bias,NUTS_bias_mean
0,0.010421,0.057783,0.041483,0.054346,0.03388
1,0.0123,0.037281,0.001644,0.045803,0.008047
2,0.012852,0.041518,0.02296,0.053524,0.027742
3,0.014606,0.215825,0.236717,0.261428,0.312091
4,0.016258,0.150462,0.105241,0.148562,0.113081
5,0.021298,0.0335,0.060877,0.039731,0.063722
6,0.023557,0.070769,0.044296,0.071905,0.067138
7,0.02711,0.019883,0.039521,0.028249,0.045823
8,0.027333,0.002534,0.004158,0.003488,0.029088
9,0.029502,0.015753,0.028586,0.012336,0.032616
10,0.029515,0.363853,0.353451,0.334103,0.360547
11,0.030267,0.043463,0.019913,0.043185,0.055813
12,0.032295,0.025672,0.035865,0.01934,0.011386
13,0.034398,0.01842,0.009838,0.040086,0.060723
14,0.035671,0.002054,-0.030987,0.006852,-0.010595
15,0.03578,0.035719,0.017868,0.046949,0.058274
16,0.037513,0.025075,0.094044,0.024078,0.056053
17,0.042592,0.08662,0.092621,0.075756,0.074133
18,0.043422,-0.007292,-0.022259,-0.000393,-0.004546
19,0.044185,0.010159,0.014926,0.020896,0.045702
20,0.04782,0.040313,0.059562,0.037421,0.044064
21,0.048265,0.00143,0.000801,0.001808,0.002713
22,0.0517,-0.079911,-0.116047,-0.093335,-0.068197
23,0.052056,0.001874,-0.035856,0.000279,-0.03559
24,0.055967,-0.057667,-0.078636,-0.045464,-0.063032
25,0.056305,0.034794,0.007534,0.02221,-0.019008
26,0.056502,0.016485,0.008031,0.01422,0.009036
27,0.056969,0.033538,0.014458,0.047037,0.057797
28,0.059207,0.002335,-0.00994,0.002001,-0.002992
29,0.063553,0.006702,-0.005371,0.001474,-0.012558
30,0.06419,0.00622,-0.015737,0.005137,-0.042497
31,0.066961,0.001755,-0.021621,-0.002433,-0.00854
32,0.068902,-0.013744,-0.033527,0.001496,-0.027004
33,0.071001,-0.002196,0.031509,0.00742,0.016826
34,0.075209,-0.005313,-0.025088,0.001761,-0.0072
35,0.079622,-0.001904,-0.026533,-0.000144,-0.034753
36,0.080976,0.007474,0.003045,0.003636,-0.004302
37,0.083482,0.01916,0.110708,0.023343,0.072953
38,0.087282,-0.001127,0.09616,0.001001,0.030712
39,0.087606,-0.006158,-0.038071,0.001243,-0.005321
40,0.098929,-0.011292,-0.006638,-0.003243,-0.01879
41,0.099755,-0.005648,-0.035068,0.00151,-0.039778
42,0.108148,0.003665,0.008082,0.001053,0.000758
43,0.109637,0.004202,-0.006269,0.004007,-0.000076
44,0.118053,-0.002222,0.05153,-0.000509,0.011826
45,0.118087,0.023423,0.01499,0.022815,0.036032
46,0.133027,0.01099,0.030998,0.014359,0.042285
47,0.155452,0.001524,-0.044557,-0.0091,-0.047893
48,0.182193,0.018762,0.106095,0.006372,0.119839
49,0.262378,0.002009,-0.045652,0.002419,-0.049586
50,0.482244,-0.001108,-0.031218,0.003508,0.00003
51,0.533113,0.001496,-0.059989,-0.000887,-0.078649
52,0.578245,-0.008879,-0.021394,0.009967,0.028132
53,0.590124,0.017035,-0.014164,0.013025,0.00519
54,0.712705,0.013089,-0.032052,-0.004824,-0.076206
55,0.780654,-0.000144,-0.073937,0.000964,-0.022857
56,0.841719,-0.015294,-0.037749,-0.019457,-0.057034
57,0.843223,-0.05607,-0.038872,-0.007823,-0.041664
58,0.896372,-0.039904,-0.135113,-0.043139,-0.061607
59,0.912855,-0.048308,-0.170364,-0.067442,-0.143552
