phi,SVI_bias,SVI_bias_mean
0.010421,-0.003896,0.024756
0.0123,-0.00477,0.005467
0.012852,-0.010021,0.00338
0.014606,0.016028,0.0783
0.016258,0.019286,0.044821
0.021298,0.006936,0.070632
0.023557,0.006593,0.03255
0.02711,0.007067,0.059397
0.027333,0.002434,0.031417
0.029502,-0.002494,0.015253
0.029515,0.037271,0.006432
0.030267,0.002137,0.01606
0.032295,-0.001001,0.039303
0.034398,0.009048,0.007026
0.035671,-0.000269,-0.005217
0.03578,0.001802,0.00851
0.037513,0.00451,0.192041
0.042592,0.01026,0.089159
0.043422,-0.008023,-0.032683
0.044185,0.003069,0.00715
0.04782,0.011728,0.110115
0.048265,0.000809,0.000945
0.0517,-0.004563,-0.002045
0.052056,-0.002178,-0.032468
0.055967,-0.004797,-0.008408
0.056305,0.001748,0.052044
0.056502,-0.001567,0.000773
0.056969,0.004386,0.003632
0.059207,-0.004186,-0.031128
0.063553,0.001033,0.004466
0.06419,0.000712,0.000754
0.066961,-0.002273,-0.064113
0.068902,-0.001902,-0.008078
0.071001,0.001874,0.046953
0.075209,-0.003682,-0.060598
0.079622,-0.001569,-0.003766
0.080976,-0.004757,-0.005999
0.083482,0.001718,0.172427
0.087282,0.001503,0.251043
0.087606,-0.005739,-0.106444
0.098929,-0.000397,0.023312
0.099755,-0.001898,-0.00756
0.108148,-0.000974,0.019837
0.109637,-0.001017,-0.025542
0.118053,0.000955,0.155342
0.118087,0.002994,-0.001568
0.133027,0.000481,0.024849
0.155452,-0.001315,-0.048954
0.182193,0.000774,0.01291
0.262378,-0.00162,-0.028963
0.482244,-0.002842,-0.046133
0.533113,0.001318,-0.000361
0.578245,0.002832,-0.060708
0.590124,0.001081,-0.052551
0.712705,-0.002449,-0.107481
0.780654,-0.002784,-0.199127
0.841719,-0.006811,-0.035421
0.843223,-0.008149,-0.033835
0.896372,-0.007074,-0.290378
0.912855,-0.00743,-0.236801
