x,x_frac,y
80,0.01,0.91625
80,0.01,0.9225
80,0.01,0.88875
80,0.01,0.88125
80,0.01,0.87
80,0.01,0.8625
80,0.01,0.87875
80,0.01,0.9
80,0.01,0.87625
80,0.01,0.8475
80,0.01,0.83625
80,0.01,0.795
80,0.01,0.89
80,0.01,0.8975
80,0.01,0.925
80,0.01,0.92375
80,0.01,0.9175
80,0.01,0.92
80,0.01,0.91125
80,0.01,0.85375
80,0.01,0.89625
80,0.01,0.88875
80,0.01,0.91875
80,0.01,0.92125
80,0.01,0.92125
80,0.01,0.945
80,0.01,0.935
80,0.01,0.96125
80,0.01,0.87875
80,0.01,0.89125
80,0.01,0.955
80,0.01,0.87
80,0.01,0.93
80,0.01,0.935
80,0.01,0.94125
80,0.01,0.91625
80,0.01,0.84625
80,0.01,0.91
80,0.01,0.88375
80,0.01,0.93
80,0.01,0.9325
80,0.01,0.94125
80,0.01,0.94875
80,0.01,0.925
80,0.01,0.9125
80,0.01,0.86375
80,0.01,0.90875
80,0.01,0.94375
80,0.01,0.85625
80,0.01,0.89
80,0.01,0.905
80,0.01,0.8875
80,0.01,0.89125
80,0.01,0.86375
80,0.01,0.93625
80,0.01,0.92125
80,0.01,0.86375
80,0.01,0.8525
80,0.01,0.89125
80,0.01,0.90875
200,0.025,0.9425
200,0.025,0.91375
200,0.025,0.88375
200,0.025,0.87125
200,0.025,0.87875
200,0.025,0.92125
200,0.025,0.94375
200,0.025,0.8975
200,0.025,0.9025
200,0.025,0.9275
200,0.025,0.91125
200,0.025,0.90375
200,0.025,0.93125
200,0.025,0.935
200,0.025,0.85125
200,0.025,0.9475
200,0.025,0.93625
200,0.025,0.92625
200,0.025,0.88125
200,0.025,0.9125
200,0.025,0.93375
200,0.025,0.935
200,0.025,0.93
200,0.025,0.93375
200,0.025,0.9475
200,0.025,0.93
200,0.025,0.86625
200,0.025,0.96
200,0.025,0.94625
200,0.025,0.9425
200,0.025,0.885
200,0.025,0.88625
200,0.025,0.89625
200,0.025,0.9425
200,0.025,0.93625
200,0.025,0.93375
200,0.025,0.9225
200,0.025,0.92125
200,0.025,0.91
200,0.025,0.88875
200,0.025,0.93
200,0.025,0.93375
200,0.025,0.9275
200,0.025,0.94375
200,0.025,0.94125
200,0.025,0.92125
200,0.025,0.80125
200,0.025,0.91375
200,0.025,0.85375
200,0.025,0.86125
200,0.025,0.89
200,0.025,0.9175
200,0.025,0.89
200,0.025,0.895
200,0.025,0.89375
200,0.025,0.89625
200,0.025,0.90125
