,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.871,0.346,1.214,2.578,0.011,0.008,964.0,935.0,
AGE_AT_START,0.101,0.001,0.099,0.103,0.0,0.0,929.0,1023.0,
GNDR_CD,-0.682,0.013,-0.706,-0.657,0.0,0.0,775.0,1016.0,
WIMD_QUINTILE_INCEPTION_1,0.474,0.02,0.44,0.516,0.001,0.0,930.0,929.0,
WIMD_QUINTILE_INCEPTION_2,0.227,0.018,0.194,0.263,0.001,0.0,1034.0,981.0,
WIMD_QUINTILE_INCEPTION_4,-0.133,0.022,-0.176,-0.092,0.001,0.001,902.0,877.0,
WIMD_QUINTILE_INCEPTION_5,-0.379,0.021,-0.42,-0.341,0.001,0.0,985.0,944.0,
cluster_probabilities[0],0.733,0.001,0.731,0.734,0.0,0.0,930.0,952.0,
cluster_probabilities[1],0.081,0.001,0.08,0.083,0.0,0.0,945.0,783.0,
cluster_probabilities[2],0.048,0.0,0.047,0.049,0.0,0.0,843.0,990.0,
cluster_probabilities[3],0.038,0.0,0.037,0.038,0.0,0.0,792.0,883.0,
cluster_probabilities[4],0.02,0.0,0.02,0.021,0.0,0.0,924.0,872.0,
cluster_probabilities[5],0.007,0.0,0.007,0.007,0.0,0.0,983.0,893.0,
cluster_probabilities[6],0.009,0.0,0.009,0.01,0.0,0.0,921.0,907.0,
cluster_probabilities[7],0.007,0.0,0.006,0.007,0.0,0.0,968.0,986.0,
cluster_probabilities[8],0.011,0.0,0.01,0.011,0.0,0.0,967.0,1026.0,
cluster_probabilities[9],0.027,0.0,0.026,0.027,0.0,0.0,986.0,846.0,
cluster_probabilities[10],0.002,0.0,0.002,0.003,0.0,0.0,1023.0,1056.0,
cluster_probabilities[11],0.003,0.0,0.002,0.003,0.0,0.0,1086.0,1016.0,
cluster_probabilities[12],0.001,0.0,0.001,0.001,0.0,0.0,980.0,815.0,
cluster_probabilities[13],0.001,0.0,0.001,0.002,0.0,0.0,1106.0,945.0,
cluster_probabilities[14],0.001,0.0,0.001,0.001,0.0,0.0,955.0,904.0,
cluster_probabilities[15],0.002,0.0,0.001,0.002,0.0,0.0,1065.0,867.0,
cluster_probabilities[16],0.002,0.0,0.001,0.002,0.0,0.0,1076.0,942.0,
cluster_probabilities[17],0.001,0.0,0.001,0.001,0.0,0.0,1057.0,951.0,
cluster_probabilities[18],0.004,0.0,0.004,0.004,0.0,0.0,1100.0,983.0,
cluster_probabilities[19],0.002,0.0,0.002,0.002,0.0,0.0,1120.0,1023.0,
cluster_probabilities[20],0.0,0.0,0.0,0.0,0.0,0.0,1013.0,935.0,
cluster_probabilities[21],0.0,0.0,0.0,0.0,0.0,0.0,735.0,853.0,
intercepts[0],-2.839,0.008,-2.854,-2.821,0.0,0.0,961.0,865.0,
intercepts[1],-2.68,0.023,-2.724,-2.633,0.001,0.001,863.0,934.0,
intercepts[2],-3.072,0.034,-3.135,-3.002,0.001,0.001,933.0,678.0,
intercepts[3],-4.469,0.074,-4.606,-4.328,0.002,0.002,1078.0,1024.0,
intercepts[4],-2.849,0.059,-2.971,-2.738,0.002,0.001,979.0,943.0,
intercepts[5],-1.901,0.058,-2.031,-1.799,0.002,0.001,1019.0,900.0,
intercepts[6],-0.388,0.039,-0.468,-0.316,0.001,0.001,1045.0,955.0,
intercepts[7],2.028,0.066,1.882,2.145,0.002,0.002,894.0,820.0,
intercepts[8],0.935,0.048,0.85,1.04,0.002,0.001,942.0,874.0,
intercepts[9],1.214,0.028,1.159,1.264,0.001,0.001,924.0,983.0,
intercepts[10],1.039,0.083,0.861,1.187,0.003,0.002,978.0,995.0,
intercepts[11],2.266,0.1,2.085,2.473,0.003,0.002,944.0,1014.0,
intercepts[12],0.37,0.108,0.164,0.587,0.003,0.002,998.0,877.0,
intercepts[13],-0.593,0.1,-0.786,-0.401,0.004,0.003,777.0,795.0,
intercepts[14],-1.852,0.149,-2.124,-1.552,0.005,0.003,937.0,787.0,
intercepts[15],-2.357,0.143,-2.626,-2.074,0.005,0.003,853.0,983.0,
intercepts[16],1.283,0.113,1.075,1.52,0.004,0.003,986.0,944.0,
intercepts[17],0.213,0.115,-0.007,0.428,0.004,0.003,903.0,743.0,
intercepts[18],-1.974,0.098,-2.183,-1.804,0.003,0.002,813.0,905.0,
intercepts[19],-0.563,0.096,-0.753,-0.383,0.003,0.002,927.0,851.0,
intercepts[20],1.0,0.273,0.526,1.596,0.008,0.006,1030.0,900.0,
intercepts[21],-3.046,0.42,-3.895,-2.258,0.015,0.011,758.0,944.0,
"Cluster 0, FIRST_BL_ANAEMIA",0.0,0.0,0.0,0.0,0.0,0.0,921.0,982.0,
"Cluster 0, FIRST_ARRYTHMIA",0.002,0.0,0.002,0.003,0.0,0.0,1038.0,982.0,
"Cluster 0, FIRST_CPD",0.005,0.0,0.004,0.005,0.0,0.0,863.0,944.0,
"Cluster 0, FIRST_CHF",0.0,0.0,0.0,0.0,0.0,0.0,940.0,982.0,
"Cluster 0, FIRST_COAGULOPATHY",0.0,0.0,0.0,0.0,0.0,0.0,938.0,983.0,
"Cluster 0, FIRST_DEF_ANAEMIA",0.001,0.0,0.001,0.001,0.0,0.0,1040.0,988.0,
